"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Construction Contractors Board,CCB Rulemaking Hearing,Rulemaking Hearing,06/15/2018 08:00:00 AM,05/25/2018 09:00:00 AM,"201 High Street SE, 6th floor", Salem,OR,"CCB has initiated the rulemaking process for permanent rules relating to a pilot pre-license project. The rule making hearing will take place on June 15th at 8:00 a.m.
http://www.oregon.gov/CCB/laws-rules/Pages/proposed-rules.aspx ",Yes,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,,,,,,,,,
Construction Contractors Board,Construction Contractors Board Teleconference Board Meeting,Construction Contractors Board Teleconference Board Meeting,12/06/2017 09:30:00 AM,12/06/2017 11:00:00 AM,"201 High St SE, 1st Floor", Salem,OR,,Yes,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,,,,,,http://www.oregon.gov/CCB/board/Pages/minutes.aspx,,,
Construction Contractors Board,CCB Board Meeting,,08/28/2019 09:30:00 AM,08/01/2019 01:00:00 PM,"201 High St SE, 1st Floor Hearings Room", Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,,,,,,,,
Construction Contractors Board,CCB Board Meeting,,06/26/2019 09:30:00 AM,06/26/2019 12:30:00 PM,"201 High St SE, 1st Floor, Hearings Room", Salem,OR,,Yes,Sara Heinz,503-934-2214,sara.heinz@ccb.state.or.us,,,,,,,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx (http://www.oregon.gov/CCB/board/Pages/board-info.aspx%20),,,,,,,
Construction Contractors Board,CCB Board Meeting,CCB Board Meeting,02/27/2019 09:30:00 AM,02/27/2019 12:30:00 PM,"201 High Street SE, 1st Floor Hearings Room", Salem,OR,,Yes,Sara Heinz,503-934-2217,sara.heinz@state.or.us,,,https://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,,,,,,,,,https://www.oregon.gov/CCB/board/Pages/minutes.aspx,,,
Construction Contractors Board,CCB Appeals Committee Meeting,,08/28/2019 09:30:00 AM,08/28/2019 11:30:00 AM,"201 High St SE, 1st Floor Hearings Room", Salem,OR,,,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,,,,,,,,
Construction Contractors Board,CCB Board Administrator Hiring Subcommittee Meeting,,04/22/2019 10:00:00 AM,04/22/2019 12:00:00 PM,"201 High St SE, 6th Floor Board Room", Salem,OR,,Yes,Sara Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,,,,,https://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,,,,
Construction Contractors Board,CCB Teleconference Board Meeting,,05/22/2019 09:30:00 AM,05/22/2019 10:30:00 AM,"201 High St SE, 1st Floor Hearings Room", Salem,OR,,Yes,Sara Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,,,None,,https://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,,,,
Construction Contractors Board,CCB Board Meeting,,10/23/2019 09:30:00 AM,10/23/2019 01:00:00 PM,"201 High St SE, 1st Floor Hearings Room", Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,https://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,,,,
Construction Contractors Board,CCB Board Meeting,,04/24/2019 09:30:00 AM,04/24/2019 12:30:00 PM,"201 High St SE, 1st Floor Hearings Room",Salem,OR,,Yes,Sara Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,,,,,https://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,https://www.oregon.gov/CCB/board/Pages/minutes.aspx,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,03/18/2020 11:00:00 AM,03/18/2020 12:00:00 PM,"201 High Street, 1st Floor Hearings Room",Salem,OR,Emergency meeting to initiate rulemaking.,,Sara Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,,,,,,,,,,,,
Construction Contractors Board,CCB Appeals Committee Public Meeting and Executive Session,,09/23/2020 09:30:00 AM,09/23/2020 12:00:00 PM,GoTo Meeting, Salem,OR,"CCB Appeal Committee Meeting
Wed, Sep 23, 2020 9:30 AM - 11:30 AM (PDT)

Please join my meeting from your computer, tablet or smartphone.

https://global.gotomeeting.com/join/859140789

You can also dial in using your phone.
(For supported devices, tap a one-touch number below to join instantly.)

United States: +1 (571) 317-3122
- One-touch: tel:+15713173122,,859140789#

Access Code: 859-140-789

Join from a video-conferencing room or system.
Dial in or type: 67.217.95.2 or inroomlink.goto.com
Meeting ID: 859 140 789
Or dial directly: 859140789@67.217.95.2 or 67.217.95.2##859140789


New to GoToMeeting? Get the app now and be ready when your first meeting starts: https://global.gotomeeting.com/install/859140789
",,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,04/22/2020 09:30:00 AM,04/22/2020 12:30:00 PM,"201 High Street, 1st Floor Hearings Room", Salem,OR,Public Comment will be accepted in person. Social distancing guidelines of 6 feet will be adhered to. Hand sanitizer is available.,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,06/24/2020 09:30:00 AM,06/24/2020 12:00:00 PM,GoTo Meeting , Salem,OR,"This meeting will be held via GoTo Meeting. The call in information is provided below.


",Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,1 (646) 749-3122,541-053-589,https://www.oregon.gov/ccb/board/Pages/board-info.aspx,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,06/24/2020 09:30:00 AM,06/24/2020 12:00:00 PM,201 High Street,Salem,OR,"This meeting will be held via GoTo Meeting. The call in information is provided below.


",Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,1 (646) 749-3122,541-053-589,https://www.oregon.gov/ccb/board/Pages/board-info.aspx,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,08/26/2020 09:30:00 AM,08/26/2020 12:00:00 PM,GoTo Meeting, Salem,OR,,Yes,Sara Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,true,https://global.gotomeeting.com/join/510382061,+1 (646) 749-3122,510-382-061,,,,,,,,
Construction Contractors Board,CCB Board Meeting and Appeal Committee with Executive Session,,10/28/2020 09:30:00 AM,10/28/2020 12:00:00 PM,GoTo Meeting,Salem,OR,,Yes,Sara M Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,true,https://global.gotomeeting.com/join/573121557,1-224-501-3412,573-121-557,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,10/27/2021 08:30:00 AM,10/27/2021 11:30:00 AM,GoTo Meeting,Salem,OR,,Yes,Sara Heinz,5039342217,sara.heinz@ccb.oregon.gov,,,,,,,,https://global.gotomeeting.com/join/993481829,(571) 317-3122,993-481-829,,,,,,,,
Construction Contractors Board,CCB Board Meeting with Executive Session,,02/24/2021 08:30:00 AM,02/24/2021 10:30:00 AM,GoTo Meeting,Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,1-646-749-3122,228-495-949,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,04/27/2022 08:30:00 AM,04/27/2022 11:30:00 AM,GoTo Meeting,Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.oregon.gov,,,,,,,,https://meet.goto.com/697728149  (https://meet.goto.com/697728149%20),+1 (408) 650-3123 ,697-728-149,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,08/25/2021 08:30:00 AM,08/25/2021 11:30:00 AM,GoTo Meeting, Salem,OR,,Yes,Leslie Culpepper,,leslie.culpepper@ccb.oregon.gov,,,,,,,,https://global.gotomeeting.com/join/460377757  (https://global.gotomeeting.com/join/460377757%20),1-872-240-3412,460-377-757,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,04/28/2021 08:30:00 AM,04/28/2021 11:30:00 AM,GoTo Meeting,SALEM,OR,,Yes,Sara Heinz,503-934-2217,sara.heinz@ccb.state.or.us,,,,,,,,,1-646-749-3122,686-859-405,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,06/23/2021 08:30:00 AM,06/23/2021 11:30:00 AM,GoTo Meeting,SALEM,OR,,Yes,Sara Heinz,5039342217,sara.heinz@ccb.oregon.gov,,,,,,,,https://global.gotomeeting.com/join/678362221,1-872-240-3212,678-362-221,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,02/23/2022 08:30:00 AM,02/23/2022 11:30:00 AM,GoTo Meeting,Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.oregon.gov,,,,,,,true,https://global.gotomeeting.com/join/243767117,(224) 501-3412,243-767-117,,,,,,,,
Construction Contractors Board,CCB Board Teleconference Meeting,,12/01/2021 08:30:00 AM,12/01/2021 11:30:00 AM,GoTo Meeting, Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.oregon.gov,,,,,,,true,https://global.gotomeeting.com/join/372375701,1-646-749-3122,372-375-701,,,,,,,,
Construction Contractors Board,CCB Board Meeting,,08/24/2022 08:30:00 AM,08/24/2022 11:30:00 AM,"201 High Street SE, 1st Floor Hearings Room OR GoTo Meeting",Salem,OR,,,Julie Nadeau,503-934-2217,julie.t.nadeau@ccb.oregon.gov,,,,,,,,,GoTo Meeting Call In: 1 (571) 317-3112,Access Code: 515-188-397,https://www.oregon.gov/ccb/board/Pages/board-info.aspx,,,,https://www.oregon.gov/ccb/board/Pages/minutes.aspx,,,
Construction Contractors Board,Rule Making Public Hearing,,05/18/2022 11:00:00 AM,05/18/2022 12:00:00 PM,"201 High St, 1st Floor Hearings Room",Salem,OR,"This hearing will also be made available via GoTo Meeting, call in information is below.",Yes,Sara Heinz,5039342217,sara.heinz@ccb.oregon.gov,,,,,,,,https://meet.goto.com/875652757,1-571-317-3112,875-652-757,,,,,,,,
Construction Contractors Board,CCB Board Meeting,,06/22/2022 08:30:00 AM,06/22/2022 11:30:00 AM,"201 High Street SE, 1st Floor Hearings Room OR GoTo Meeting",Salem,OR,,Yes,Julie Nadeau,503-934-2217,julie.t.nadeau@ccb.oregon.gov,,,,,,,,https://meet.goto.com/768093669,571-317-3122,768-093-669,https://www.oregon.gov/ccb/board/Pages/board-info.aspx,,,,https://www.oregon.gov/ccb/board/Pages/board-info.aspx,,,
